concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
49	16	21	21	16	20
49	16	21	21	16	20
66	20	27	34	2	17
75	22	80	32	3	28
45	25	34	38	57	26
60	24	34	33	27	24
56	21	21	30	24	22
175	19	30	23	21	22
50	0	40	29	41	24
43	24	31	31	32	26
73	35	0	21	0	27
73	17	18	44	21	23
134	21	10	35	25	32
115	11	37	34	4	30
48	22	22	35	22	24
43	30	0	32	3	33
61	19	20	35	20	25
124	24	31	35	27	23
59	21	27	34	27	28
62	0	60	11	0	35
82	21	27	37	17	25
51	42	44	45	21	29
163	24	38	43	23	25
49	21	28	42	24	26
86	22	18	38	21	24
44	19	30	37	27	25
54	31	36	47	33	24
118	21	24	42	26	30
66	13	53	45	66	28
65	16	0	46	45	28
60	49	52	19	36	19
55	25	27	47	65	31
78	20	20	50	28	28
46	15	0	27	41	13
48	21	17	39	29	30
90	9	28	39	0	36
47	48	92	40	30	23
63	17	0	45	42	38
69	21	20	43	24	27
93	23	46	50	31	26
38	24	29	49	29	28
74	22	30	43	27	28
55	20	21	51	24	27
46	21	20	49	28	27
116	15	115	71	76	45
55	28	2	41	24	18
72	27	40	49	32	29
72	27	40	49	32	29
83	5	0	61	0	49
117	20	34	50	28	30
64	7	4	62	52	28
66	23	39	50	33	46
126	17	15	42	0	50
79	22	90	43	48	37
49	20	24	34	28	31
57	60	66	38	29	31
102	27	60	42	33	35
78	22	30	43	29	31
29	38	0	45	21	20
81	19	22	32	22	31
88	22	33	45	30	33
87	25	49	54	35	38
92	24	39	49	31	32
174	23	34	70	77	38
99	20	21	47	33	28
84	21	21	50	31	30
43	34	1	57	78	21
56	24	29	55	29	31
20	52	0	51	24	34
55	22	0	48	37	36
72	45	58	81	54	55
55	24	33	45	33	38
83	24	31	52	42	39
87	37	34	50	53	46
79	23	62	67	13	29
44	23	20	47	28	35
171	23	37	49	84	35
66	26	29	62	26	39
57	21	24	51	36	36
64	8	15	48	3	35
141	21	22	45	30	37
85	23	34	51	32	39
185	27	100	55	39	43
113	19	54	52	42	39
60	29	76	53	38	43
89	25	0	29	0	38
63	23	21	52	24	39
87	21	31	48	32	42
68	29	55	53	34	45
98	24	39	54	36	42
71	24	27	50	34	42
72	23	23	52	28	40
123	20	20	50	32	41
123	20	20	50	32	41
116	23	24	52	33	43
118	31	45	51	43	42
120	28	31	55	41	40
108	22	33	56	35	43
25	40	0	64	34	47
42	25	0	59	17	23
53	22	25	61	34	42
69	27	55	64	42	45
83	25	29	69	37	42
65	24	44	63	33	41
114	24	21	62	36	41
52	22	25	62	36	42
44	22	27	70	39	41
95	29	51	66	34	46
114	30	40	65	30	43
100	29	43	60	34	41
128	7	0	67	15	56
80	27	25	66	33	41
72	63	0	83	61	37
82	27	43	63	33	41
106	59	139	49	56	42
94	28	11	80	24	44
165	25	27	63	31	40
61	45	85	53	0	45
99	17	49	68	46	45
148	42	26	54	29	40
192	18	83	51	63	52
65	24	23	63	37	40
66	20	26	52	27	45
171	27	50	60	10	44
66	25	42	70	38	41
119	24	23	60	36	43
83	26	28	60	38	40
60	56	31	62	73	20
68	29	31	60	36	41
23	42	26	66	20	19
59	25	26	58	38	42
70	23	41	66	54	35
96	30	30	65	18	42
70	28	39	59	41	40
145	26	27	57	39	40
61	25	34	48	37	40
93	42	32	60	41	41
93	42	32	60	41	41
90	33	32	53	38	43
69	23	84	54	30	46
95	25	28	57	40	40
96	29	43	60	40	41
57	27	28	46	41	41
80	48	61	98	6	48
109	29	33	57	39	42
158	15	0	82	28	52
91	73	52	46	51	44
17	27	47	65	14	63
58	24	22	58	34	42
64	26	38	57	33	41
120	51	13	50	32	44
64	27	42	60	38	43
92	19	143	35	48	63
74	25	27	59	31	43
77	30	0	59	22	43
122	34	1	66	42	43
118	48	92	56	37	25
103	26	0	48	33	41
47	26	25	59	42	39
76	61	40	70	44	46
78	26	37	60	45	40
98	35	35	64	77	64
109	25	26	60	40	42
73	28	32	62	43	43
66	31	69	64	44	59
80	31	41	63	42	43
116	16	32	59	6	39
80	28	26	63	34	43
71	27	24	68	45	53
96	32	36	67	35	46
153	28	31	68	42	48
183	12	84	57	36	41
82	25	21	66	44	46
110	25	35	68	41	42
87	30	56	71	47	45
85	27	29	75	52	45
167	24	34	68	46	44
97	15	9	81	48	45
88	25	30	67	38	43
95	24	51	68	38	44
120	28	39	64	48	48
77	25	44	72	46	48
68	28	40	72	35	45
68	28	40	72	35	45
74	25	28	78	36	43
68	29	30	78	37	43
108	0	0	73	32	44
116	29	42	71	38	46
199	29	40	71	43	48
113	30	43	70	35	45
98	29	107	67	49	40
71	28	27	66	39	45
112	27	27	66	43	43
90	33	49	69	50	35
84	16	52	72	48	47
107	30	37	70	41	46
152	27	45	69	69	46
92	26	52	67	32	38
47	29	34	71	40	44
121	30	29	68	38	47
102	59	49	63	43	49
95	34	54	99	56	50
23	58	0	98	76	25
108	30	13	73	37	53
90	29	21	82	42	44
80	51	14	70	57	51
118	64	5	67	47	49
93	32	47	66	47	48
165	37	62	69	35	44
112	19	0	74	24	56
91	29	36	65	43	43
122	30	53	97	42	50
113	29	49	65	11	48
72	53	41	69	55	48
118	49	37	56	22	33
101	50	69	58	39	43
89	20	0	45	42	40
111	43	0	72	63	40
105	35	97	65	40	44
108	31	48	77	51	47
148	30	74	73	46	45
103	24	0	75	84	28
115	47	0	70	33	42
93	31	16	72	43	46
54	34	20	68	30	41
131	33	70	75	47	50
87	56	159	72	34	47
87	56	159	72	34	47
157	61	32	71	78	18
63	28	37	75	31	50
76	31	37	70	48	45
152	34	25	58	57	43
120	64	7	65	60	52
139	0	40	82	47	51
78	32	0	71	49	56
90	31	30	75	43	47
147	33	36	75	46	49
80	76	165	78	47	68
80	35	37	84	47	47
129	37	32	76	27	48
86	32	27	85	35	48
178	31	28	86	47	50
129	41	0	95	20	45
102	46	154	86	47	47
118	34	15	80	53	43
66	66	130	77	46	53
99	18	24	102	52	69
65	19	0	82	67	42
125	80	150	71	53	41
89	61	157	86	19	52
111	37	36	78	66	54
69	32	49	69	43	47
94	38	6	76	47	48
64	29	48	75	24	62
151	46	0	78	41	54
59	30	48	70	42	55
102	35	155	76	45	50
78	38	45	77	46	51
59	30	56	71	45	43
77	31	30	78	47	50
116	11	51	54	49	45
197	37	44	71	49	54
81	17	68	85	56	51
102	29	121	98	55	63
57	27	118	78	76	67
57	21	0	89	54	51
96	24	27	77	32	53
109	34	57	104	54	49
89	39	44	75	49	75
40	58	6	71	50	53
98	29	38	88	41	48
90	28	36	79	49	50
90	28	36	79	49	50
177	37	49	71	24	52
115	30	44	86	49	51
87	34	52	89	48	49
70	29	36	85	49	48
87	30	47	83	48	50
56	36	86	97	102	53
80	32	49	91	52	50
117	0	76	118	61	27
219	33	63	91	27	60
158	31	29	90	48	49
99	32	41	56	5	19
123	36	38	89	55	50
56	17	32	81	69	42
219	33	30	83	43	48
77	33	33	83	35	50
178	41	64	78	50	55
74	38	37	75	48	50
152	28	0	91	0	54
167	34	20	81	43	49
86	24	28	97	42	47
84	39	35	76	44	49
87	24	0	75	70	64
63	34	37	74	49	48
77	42	37	80	67	48
111	36	32	75	52	51
94	21	6	75	40	44
76	37	32	68	46	46
69	40	51	81	54	50
184	39	36	73	49	50
159	41	44	69	52	50
92	37	28	76	43	48
89	37	42	75	48	51
130	28	53	72	85	50
102	47	66	80	43	49
56	56	56	102	7	34
64	40	50	84	60	44
123	35	38	70	57	38
115	43	68	68	27	41
110	42	42	68	52	51
154	43	49	72	72	53
119	33	13	66	35	47
149	34	31	72	46	52
76	37	3	70	50	61
67	36	42	76	46	51
67	36	42	76	46	51
88	37	154	94	26	60
99	35	30	63	52	50
189	66	121	80	41	52
182	47	167	79	89	52
70	38	41	79	46	52
103	38	8	76	47	51
78	18	38	73	72	49
101	36	139	85	0	54
135	36	128	78	57	54
69	37	44	81	51	53
79	37	51	91	31	44
67	25	65	88	30	53
224	36	38	81	46	49
166	54	48	84	49	52
138	45	65	89	48	53
117	38	51	90	45	51
129	36	0	95	64	54
75	37	33	87	49	49
72	39	30	90	49	50
98	40	39	103	52	52
132	37	40	114	50	51
65	42	41	107	59	54
147	37	42	90	58	40
55	37	25	103	43	49
59	38	41	103	44	53
80	32	59	104	60	54
63	39	50	97	56	52
81	40	38	102	48	50
75	30	31	94	33	49
76	34	36	102	45	49
65	37	39	101	44	51
106	51	42	97	51	54
182	31	43	107	51	41
104	42	47	101	54	54
83	35	45	101	44	52
32	67	0	126	84	36
57	23	0	102	54	46
79	38	47	101	48	53
56	36	74	102	91	57
101	37	29	133	94	43
83	37	54	122	56	54
81	37	37	86	50	50
69	38	45	82	48	53
69	38	45	82	48	53
97	38	30	85	46	50
130	36	31	83	51	51
83	36	33	84	53	51
121	45	67	93	61	54
174	38	43	94	49	50
77	39	50	74	48	55
74	57	0	88	53	66
71	37	33	84	53	54
121	37	36	87	51	56
69	41	45	87	51	57
69	38	48	90	56	57
80	32	38	89	38	56
93	34	29	94	48	54
58	34	36	88	48	56
100	0	60	86	34	76
128	38	46	80	53	57
96	36	42	88	53	56
42	35	0	93	48	61
160	37	44	92	54	57
148	43	159	116	90	56
73	31	97	94	36	52
131	40	47	84	60	59
149	34	63	91	58	58
125	32	13	94	81	53
87	38	37	87	54	56
97	62	46	78	46	59
82	42	50	91	73	63
88	43	67	100	29	73
92	35	31	76	55	53
104	38	37	86	53	57
138	41	139	89	61	85
79	40	47	87	59	61
126	42	42	89	37	61
115	37	37	98	58	57
86	38	42	105	55	59
89	54	0	91	50	67
129	44	47	96	57	59
60	45	48	89	43	55
157	37	37	95	51	57
55	38	70	96	38	63
80	43	55	117	61	61
95	38	49	93	62	58
111	37	34	91	53	56
111	37	34	91	53	56
69	39	40	91	52	58
129	31	115	89	66	80
103	40	54	93	56	59
74	39	47	94	53	56
79	39	111	63	65	60
100	40	39	93	54	56
72	38	13	95	55	57
92	46	68	96	66	58
142	42	0	81	82	57
102	38	0	92	58	65
71	35	39	93	45	55
112	38	53	120	52	61
192	51	26	94	54	56
103	38	43	97	54	57
90	31	43	91	64	52
84	35	38	96	49	57
90	38	38	94	52	54
109	39	178	92	60	64
132	41	55	117	48	61
135	38	36	95	55	57
78	1	86	94	3	57
125	36	39	88	51	57
104	36	37	89	50	55
135	36	48	90	51	57
145	37	54	93	58	58
91	40	43	93	70	62
80	39	65	104	49	37
224	24	58	81	44	53
65	37	36	93	54	57
176	56	57	103	79	81
25	40	87	89	78	37
76	40	61	89	39	57
117	37	39	96	68	65
95	30	116	99	73	60
81	31	114	119	0	64
66	38	38	92	56	56
143	39	42	90	57	56
120	0	98	95	66	62
104	42	58	88	62	59
91	42	55	89	59	58
57	4	50	102	101	59
144	37	39	90	55	56
94	38	39	90	61	57
94	38	39	90	61	57
129	43	42	86	60	55
140	40	5	92	119	43
98	43	171	116	112	63
96	45	62	94	62	59
56	35	91	113	84	55
92	34	71	92	52	49
119	37	35	88	53	55
80	59	0	88	48	75
98	40	48	110	111	60
109	40	50	94	69	61
135	26	192	90	100	56
92	38	20	93	56	56
148	38	46	93	36	53
129	45	32	94	33	66
93	39	48	90	57	58
67	39	40	98	57	58
117	28	5	85	46	67
130	41	40	91	53	57
90	62	5	85	64	57
118	42	45	91	58	59
36	27	60	114	55	47
60	37	30	88	46	60
83	23	0	94	0	28
91	44	59	100	54	57
92	43	40	97	54	62
98	42	45	87	57	57
175	39	62	80	31	84
97	46	65	88	49	55
47	52	19	100	65	56
97	31	74	84	60	62
108	42	41	88	54	60
250	84	56	93	62	61
97	44	45	95	116	65
97	47	32	93	61	63
143	41	35	88	52	61
102	43	38	93	54	64
83	68	123	90	6	63
82	47	52	94	63	63
88	59	21	84	70	64
74	43	34	94	56	63
64	48	66	91	66	65
66	45	39	93	58	65
61	66	6	108	67	53
100	40	49	95	59	63
100	40	49	95	59	63
60	31	45	98	65	31
67	48	58	92	58	65
79	61	52	89	66	55
56	40	32	89	56	60
95	42	25	87	57	63
94	42	47	89	61	61
26	67	169	88	96	63
137	60	18	99	42	66
81	41	50	91	61	60
145	44	33	88	44	58
110	47	59	81	63	61
179	57	53	112	42	78
137	43	3	95	35	65
148	42	40	90	42	60
141	80	60	92	48	58
108	30	64	85	61	56
94	44	47	91	53	63
106	40	43	90	48	59
214	42	35	92	50	58
80	41	52	96	53	59
143	42	44	103	54	58
97	42	52	107	54	58
56	41	109	104	56	63
121	38	46	115	74	62
143	39	40	100	58	59
179	39	40	97	60	59
133	46	50	99	62	61
132	28	54	102	67	63
96	46	56	106	61	63
136	58	83	105	61	76
151	52	5	115	66	57
78	42	40	108	54	63
93	34	3	100	46	84
162	73	68	108	51	61
61	84	9	93	58	66
194	50	121	97	40	59
115	52	48	92	59	59
91	42	45	98	59	61
151	63	0	98	94	61
114	46	13	85	71	52
89	44	50	105	59	62
92	26	60	95	92	57
92	26	60	95	92	57
176	51	88	99	73	77
94	42	46	100	53	61
103	7	0	93	7	61
127	49	71	107	97	62
132	49	48	102	62	63
128	43	0	85	52	81
138	41	107	98	91	52
70	42	50	104	53	60
122	44	43	103	60	61
121	46	43	102	56	63
79	45	49	102	57	62
122	75	49	103	31	51
124	51	93	105	66	64
107	35	42	138	62	63
114	50	41	104	59	61
94	58	89	107	55	61
171	73	60	108	63	83
86	45	38	109	55	61
78	45	42	109	62	59
95	44	41	109	61	61
111	51	44	93	60	70
146	51	72	114	63	68
86	52	46	109	59	67
161	50	4	96	62	82
73	46	51	106	68	54
69	46	26	102	60	63
137	84	147	138	63	70
53	48	96	109	35	64
97	53	58	105	53	50
130	50	41	103	62	68
130	46	49	112	62	65
148	46	49	107	69	67
67	38	43	100	60	72
74	45	43	94	63	64
88	43	49	101	62	65
124	42	58	104	77	71
98	49	74	108	79	70
82	44	37	108	69	67
97	51	34	104	57	47
59	53	115	92	56	59
66	44	35	100	66	64
20	54	58	105	62	64
20	54	58	105	62	64
110	46	56	103	63	60
141	53	69	92	41	69
104	52	35	101	63	66
97	48	34	100	67	65
102	78	140	99	15	84
82	43	37	100	62	66
91	43	44	99	60	65
91	52	0	91	85	36
91	44	53	98	62	66
69	31	5	88	71	83
103	43	39	98	60	65
131	49	118	88	63	74
67	47	60	73	69	80
104	53	59	102	70	67
116	44	51	96	62	63
86	49	0	92	115	80
175	63	21	111	69	59
143	46	42	99	53	65
99	73	0	103	94	44
110	46	62	101	72	75
74	46	62	101	57	64
103	52	0	73	68	45
75	16	36	109	73	64
124	46	43	110	61	65
107	54	80	89	40	59
115	48	53	91	66	63
96	46	45	104	63	65
110	0	0	117	111	58
96	47	11	97	52	63
91	29	151	90	61	64
122	44	45	101	63	64
101	45	54	100	69	66
96	48	45	93	59	70
94	52	5	93	45	66
130	43	43	98	66	65
95	65	58	98	66	66
86	48	53	101	68	66
71	44	41	96	77	71
76	45	38	100	59	64
78	44	48	88	60	65
110	46	47	97	66	61
87	43	73	96	64	68
110	31	69	86	63	75
124	44	40	96	62	64
124	44	40	96	62	64
83	25	12	103	83	67
134	85	52	102	69	69
90	46	102	94	34	66
90	63	38	105	61	44
143	53	95	102	72	73
93	42	35	99	64	64
88	50	123	97	83	63
123	48	68	100	66	68
80	47	47	99	69	65
74	50	9	98	61	54
70	46	46	103	60	64
66	33	100	116	63	51
194	48	53	116	70	69
181	50	55	112	62	67
165	48	47	104	66	66
93	48	18	105	64	56
109	47	40	119	57	73
74	50	41	104	60	66
67	36	28	123	67	68
141	41	57	105	88	70
96	48	67	103	69	66
131	42	73	106	65	66
176	53	54	104	66	75
145	36	48	106	83	66
103	57	77	98	73	81
102	47	44	107	56	66
77	48	39	109	60	66
89	18	13	131	65	88
238	54	152	100	65	77
136	79	106	76	111	36
162	57	57	111	67	68
122	53	63	114	31	70
91	56	164	108	58	67
109	50	52	110	62	67
178	50	58	108	59	67
122	49	47	107	63	66
86	59	39	100	73	81
101	55	13	116	68	63
85	54	56	103	88	63
95	49	49	103	64	67
113	51	48	97	63	69
113	51	48	97	63	69
126	46	144	89	82	74
97	55	30	105	77	67
79	51	58	104	68	72
115	47	44	103	60	73
87	51	69	135	27	75
120	63	86	117	59	65
64	43	34	120	68	66
115	46	52	105	65	69
151	46	44	105	67	71
90	45	44	113	61	68
133	49	62	111	61	69
114	47	48	103	65	71
73	50	46	99	70	70
83	47	38	101	64	73
180	79	0	97	87	71
105	41	3	92	56	55
134	46	50	97	65	68
158	49	54	104	61	70
104	76	47	97	21	71
216	55	176	94	53	70
120	54	70	96	55	72
141	48	51	87	59	69
80	74	69	95	31	49
103	61	10	97	72	71
110	46	42	101	67	69
97	51	43	105	64	71
163	47	44	101	70	72
137	44	139	85	50	67
125	66	55	101	80	79
107	71	54	102	69	77
98	46	33	103	66	75
93	46	50	103	66	70
105	37	15	119	22	82
62	51	149	120	111	59
75	47	58	93	63	78
77	47	49	96	67	61
127	10	0	100	62	70
140	81	29	102	74	86
88	49	59	102	72	69
94	45	46	93	70	71
87	48	59	92	70	80
82	47	47	96	64	69
82	47	47	96	64	69
127	38	17	92	6	63
96	50	58	91	67	65
69	71	20	100	70	67
54	31	73	104	68	65
220	44	50	102	67	63
110	44	47	102	66	65
94	45	52	103	63	66
120	47	59	108	63	70
132	48	58	108	59	74
99	45	49	106	62	74
117	58	53	101	66	67
89	37	12	114	59	71
86	45	45	104	67	68
103	60	0	114	76	70
95	48	67	107	73	70
92	46	53	135	77	71
122	44	129	128	86	46
134	39	111	121	79	82
74	45	104	118	62	86
90	45	49	120	70	69
67	45	51	125	71	69
105	45	61	140	74	71
93	32	65	125	83	66
108	48	55	111	81	75
82	47	51	106	72	71
85	33	32	96	71	77
131	46	43	96	68	67
76	44	45	107	67	68
133	33	113	120	76	93
104	54	159	101	107	71
74	41	140	116	67	69
112	52	72	137	66	74
149	58	70	111	76	58
107	55	76	109	74	77
104	45	60	113	70	73
158	54	57	115	72	74
79	48	57	108	68	72
173	74	44	94	50	54
91	48	34	108	66	71
92	51	44	107	67	72
122	47	52	114	15	64
97	40	84	116	6	97
97	40	84	116	6	97
93	40	155	109	72	75
70	50	50	104	62	69
86	57	49	108	65	70
85	34	42	126	37	42
93	52	43	111	63	69
100	51	50	114	67	69
179	52	52	107	67	68
230	50	142	115	89	66
110	39	0	102	57	71
105	50	40	115	118	62
118	42	40	109	70	73
126	41	71	112	72	71
148	76	76	115	72	70
106	56	39	118	72	71
125	55	44	118	60	71
151	54	43	111	70	69
102	45	12	103	76	75
92	80	109	113	58	71
95	41	25	92	77	64
123	60	61	101	48	72
115	46	31	117	114	70
101	52	70	113	67	73
91	60	71	140	75	73
97	90	73	114	71	74
85	57	67	117	75	68
97	40	146	103	27	62
69	53	4	108	116	91
147	48	98	127	58	63
106	51	55	110	65	69
68	50	50	108	69	69
115	49	47	111	66	70
101	55	62	112	81	73
99	59	69	100	71	94
72	49	45	109	69	70
105	53	41	146	70	52
156	69	10	110	73	64
63	48	93	115	25	64
106	48	56	120	72	71
111	53	56	113	76	71
173	40	86	97	51	63
189	50	47	130	73	73
189	50	47	130	73	73
77	51	58	133	71	71
77	49	49	126	72	81
88	49	44	128	73	63
83	50	40	122	67	70
85	49	50	130	71	74
117	66	66	127	83	77
135	56	192	126	112	75
108	52	64	129	73	69
97	51	56	125	62	66
81	88	137	114	109	71
87	42	52	106	80	73
78	48	45	114	71	72
94	46	55	118	74	73
129	46	0	109	76	98
134	52	51	114	68	74
94	50	87	123	73	74
90	35	56	123	7	74
125	50	53	121	80	75
85	22	77	137	73	71
102	55	50	114	75	75
119	54	64	114	74	76
76	53	58	116	79	74
100	60	34	110	29	50
107	51	48	111	71	74
107	51	57	112	71	73
133	57	84	96	18	77
68	52	58	123	69	73
96	54	14	117	79	75
92	43	26	130	81	61
105	51	49	114	74	75
134	53	54	118	74	74
163	85	143	106	71	65
104	56	88	116	84	76
86	58	56	116	77	75
98	56	82	114	81	75
127	50	47	114	83	77
80	51	43	107	74	72
106	53	49	107	69	74
121	53	5	113	82	78
101	53	50	101	78	76
102	51	39	107	70	75
102	51	39	107	70	75
84	56	62	116	98	74
94	39	5	99	60	76
96	52	53	112	68	74
87	39	51	113	72	88
95	55	56	110	74	61
95	55	49	109	79	76
133	54	0	125	97	84
142	52	41	107	83	73
88	52	49	109	70	72
151	10	0	135	72	83
209	56	49	109	79	73
103	61	64	115	82	78
85	53	55	102	86	75
134	63	44	114	82	77
152	52	59	109	73	82
151	36	98	121	78	70
92	46	122	111	56	72
111	70	79	102	61	66
88	51	49	108	77	75
84	53	50	109	74	77
104	70	57	112	80	73
125	56	60	91	87	79
92	47	32	113	50	77
74	60	68	112	77	78
92	46	0	119	102	89
114	49	11	117	69	79
109	60	34	101	83	77
72	53	53	120	73	75
73	53	57	137	75	76
88	57	64	126	80	77
120	57	190	122	77	80
107	65	212	130	80	78
192	69	42	157	80	77
134	60	62	126	79	79
96	59	56	118	77	76
112	63	59	117	69	77
163	67	73	114	55	87
116	68	92	104	81	77
80	53	123	117	57	84
88	56	58	115	68	76
97	55	58	125	67	78
122	53	35	94	72	80
122	53	35	94	72	80
103	57	77	120	73	102
93	58	58	121	77	79
100	55	54	119	74	72
33	30	16	118	88	79
66	58	0	95	107	82
117	44	114	130	63	86
81	51	45	119	71	79
120	54	48	118	72	79
107	52	59	119	73	77
99	70	79	115	76	80
101	57	64	119	84	103
89	59	62	120	72	80
99	56	54	114	73	79
80	27	66	91	74	82
88	71	12	110	69	77
107	57	55	114	82	79
95	56	62	113	83	81
183	63	45	114	83	82
116	55	76	128	79	81
130	56	54	118	73	82
114	59	63	118	76	79
139	52	13	113	50	92
120	58	56	119	88	76
100	52	63	131	87	95
98	57	49	110	75	78
146	63	33	101	90	79
102	53	0	119	95	95
117	61	44	110	82	80
106	58	56	111	86	80
134	49	52	115	77	76
92	57	57	120	58	77
92	55	53	114	75	80
160	51	57	116	82	79
131	63	160	116	130	79
82	59	50	120	77	81
104	56	50	106	83	80
67	51	96	111	57	79
100	58	53	115	72	79
186	56	51	113	73	78
